"","dataset","Species","koppen_geiger"
"498","European","Reevesia pubescens","Cfb"
"499","European","Reevesia thyrsoidea",NA
"500","European","Abutilon pannosum",NA
"501","European","Hibiscus hamabo",NA
"502","European","Hibiscus makinoi",NA
"503","European","Hibiscus micranthus",NA
"504","European","Hibiscus mutabilis","Cfb; Csa; Csb; Dfb"
"505","European","Hibiscus rosa-sinensis","Cfb; Csa; Csb; Dfb"
"506","European","Hibiscus syriacus","Cfb; Csa; Csb; Dfb"
"507","European","Firmiana simplex","Cfb; Csa; Csb; Dfb"
"508","European","Craigia yunnanensis",NA
"509","European","Tilia amurensis","Cfb; Dfb"
"510","European","Tilia cordata","Cfb; Csa; Dfb"
"511","European","Tilia japonica","Cfb; Dfb"
"512","European","Tilia kiusiana","Cfb; Dfb"
"513","European","Tilia mandshurica","Cfb; Csa; Dfb"
"514","European","Bredia hirsuta",NA
"515","European","Tashiroea okinawensis",NA
"516","European","Tashiroea yaeyamensis",NA
"517","European","Melia azedarach","Cfb; Csa; Csb"
"518","European","Toona sinensis","Cfb; Csa; Dfb"
"519","European","Cocculus laurifolius","Cfb; Csa; Csb"
"520","European","Cocculus orbiculatus",NA
"521","European","Cocculus pendulus","Csa"
"522","European","Sinomenium acutum",NA
"523","European","Stephania japonica",NA
"524","European","Broussonetia kaempferi",NA
"525","European","Broussonetia papyrifera","Cfb; Csa; Csb; Dfb"
"526","European","Broussonetia x_kazinoki","Cfb"
"527","European","Ficus carica","Cfb; Csa; Csb; Dfb"
"528","European","Ficus erecta","Cfb"
"529","European","Ficus ingens",NA
"530","European","Ficus microcarpa","Csa; Csb"
"531","European","Ficus pseudo-sycomorus",NA
"532","European","Ficus salicifolia",NA
"533","European","Ficus sarmentosa",NA
"534","European","Ficus superba","Csa"
"535","European","Ficus sur","Cfb; Csa"
"536","European","Ficus sycomorus","Cfb; Csa"
"537","European","Ficus thunbergii",NA
"538","European","Ficus virgata",NA
"539","European","Maclura cochinchinensis",NA
"540","European","Maclura tricuspidata","Cfb; Csa; Dfb"
"541","European","Morus alba","Cfb; Csa; Csb; Dfb"
"542","European","Morus boninensis",NA
"543","European","Morus cathayana","Cfb; Dfb"
"544","European","Morus indica","Cfb; Csa; Dfb"
"545","European","Moringa peregrina","Csa"
"546","European","Myoporum bontioides",NA
"547","European","Morella esculenta","Cfb; Csb; Dfb"
"548","European","Morella nagi","Cfb"
"549","European","Morella rubra","Cfb"
"550","European","Myrica gale","Cfb; Csa; Csb; Dfb"
"551","European","Myrtus communis","Cfb; Csa; Csb; Dfb"
"552","European","Myrtus nivellei",NA
"553","European","Syzygium buxifolium","Csa; Csb"
"554","European","Nitraria retusa","Csa"
"555","European","Davidia involucrata","Cfb; Dfb"
"556","European","Nyssa sinensis","Cfb; Dfb"
"557","European","Malania oleifera",NA
"558","European","Abeliophyllum distichum","Cfb; Dfb"
"559","European","Chionanthus subgrp",NA
"560","European","Chionanthus retusus","Cfb; Csa; Dfb"
"561","European","Chrysojasminum fruticans","Cfb; Csa; Csb; Dfb"
"562","European","Fontanesia phillyraeoides",NA
"563","European","Fraxinus angustifolia","Cfb; Csa; Csb; Dfb"
"564","European","Fraxinus apertisquamifera",NA
"565","European","Fraxinus chinensis","Cfb; Dfb"
"566","European","Fraxinus excelsior","Cfb; Csa; Csb; Dfb"
"567","European","Fraxinus floribunda",NA
"568","European","Fraxinus griffithii","Cfb; Csa"
"569","European","Fraxinus malacophylla",NA
"570","European","Fraxinus mandshurica","Cfb; Dfb"
"571","European","Fraxinus micrantha",NA
"572","European","Fraxinus ornus","Cfb; Csa; Csb; Dfb"
"573","European","Fraxinus platypoda","Dfb"
"574","European","Jasminum humile",NA
